wave,scale,alpha,n_items_used
1,life_sat,0.8507009198087612,5
1,happy,0.7946927192281917,4
1,self_esteem,0.8672065460376833,10
1,attention,0.8203400729722365,7
1,aggression,0.8390049444463475,6
1,somatic,0.8669811784229231,8
1,withdrawal,0.8739633458373695,5
1,depression,0.9217459087922057,10
1,depression9,0.9142807019064157,9
1,grit,0.7122639516895437,8
1,parent_warmth,0.9134111359384296,4
1,parent_reject,0.7894923166142434,4
1,parent_autonomy,0.8841573578792261,4
1,parent_coerce,0.7707024034377513,4
1,parent_structure,0.7958651630300457,4
1,parent_chaos,0.8041002792214759,4
1,peer_attach,0.8519093926044708,13
1,teacher_rel,0.9121465882019053,14
1,sm_addiction,0.8760702451462493,15
1,offline_delin,,15
1,cyber_delin,,15
2,life_sat,0.8162226736855978,5
2,happy,0.7565657810696635,4
2,self_esteem,0.8452424871570261,10
2,attention,0.8264614290615717,7
2,aggression,0.8503619510681034,6
2,somatic,0.8731411107495421,8
2,withdrawal,0.8778986356206575,5
2,depression,0.916173830117606,10
2,depression9,0.9080860923924108,9
2,grit,0.6854515213975131,8
2,parent_warmth,0.8823733216614756,4
2,parent_reject,0.7956332287158463,4
2,parent_autonomy,0.8630389890712469,4
2,parent_coerce,0.7567336530192292,4
2,parent_structure,0.746168060300192,4
2,parent_chaos,0.7927440934816078,4
2,peer_attach,0.853696891470414,13
2,teacher_rel,0.9063016393485239,14
2,sm_addiction,0.8680245646045004,15
2,offline_delin,,15
2,cyber_delin,,15
3,life_sat,0.82295348737565,5
3,happy,0.7275833806599886,4
3,self_esteem,0.8373352025661781,10
3,attention,0.8257100359991295,7
3,aggression,0.8574417781434994,6
3,somatic,0.8607298991178418,8
3,withdrawal,0.8798559645501856,5
3,depression,0.9146681395741959,10
3,depression9,0.908282063014622,9
3,grit,0.7011012348564659,8
3,parent_warmth,0.8842117889192482,4
3,parent_reject,0.8065947323398015,4
3,parent_autonomy,0.864619111118742,4
3,parent_coerce,0.7966898123943436,4
3,parent_structure,0.7400328545638175,4
3,parent_chaos,0.7995862631968162,4
3,peer_attach,0.8260138553600945,13
3,teacher_rel,0.8978709091211658,14
3,sm_addiction,0.8778121949377037,15
3,offline_delin,,15
3,cyber_delin,,15
4,life_sat,0.8105456267665067,5
4,happy,0.7044399176345482,4
4,self_esteem,0.8269698525838307,10
4,attention,0.8395473162246043,7
4,aggression,0.8464701160400475,6
4,somatic,0.8591006393639917,8
4,withdrawal,0.8829581769636036,5
4,depression,0.9039091059502117,10
4,depression9,0.8988240862724637,9
4,grit,0.6070395644962715,8
4,parent_warmth,0.8746876207230712,4
4,parent_reject,0.8047778512592411,4
4,parent_autonomy,0.8734583812882777,4
4,parent_coerce,0.7326319522893431,4
4,parent_structure,0.7342218716638628,4
4,parent_chaos,0.7911951654629261,4
4,peer_attach,0.8509659321308802,13
4,teacher_rel,0.90823437538093,14
4,sm_addiction,0.8616456209954777,15
4,offline_delin,,15
4,cyber_delin,,15
5,life_sat,0.7858741256462143,5
5,happy,0.6348004639213954,4
5,self_esteem,0.7925345078578077,10
5,attention,0.8271330117754425,7
5,aggression,0.8349693214193157,6
5,somatic,0.8512834960472258,8
5,withdrawal,0.860092316105775,5
5,depression,0.8986125646489063,10
5,depression9,0.8905898925632052,9
5,grit,0.6051081981176792,8
5,parent_warmth,0.8626111676890235,4
5,parent_reject,0.8111694783527269,4
5,parent_autonomy,0.8653457381360413,4
5,parent_coerce,0.737916064688951,4
5,parent_structure,0.7631893862637951,4
5,parent_chaos,0.7884603850246218,4
5,peer_attach,0.8402894756978626,13
5,teacher_rel,0.9142291624331321,14
5,sm_addiction,0.8530321358520503,15
5,offline_delin,,15
5,cyber_delin,,15
6,life_sat,0.7531955516492084,5
6,happy,0.6398192610328679,4
6,self_esteem,0.7737720268180696,10
6,attention,0.8277427776025892,7
6,aggression,0.8319282439608678,6
6,somatic,0.8496759144402062,8
6,withdrawal,0.8746742199067475,5
6,depression,0.8957408995624728,10
6,depression9,0.888129871746926,9
6,grit,0.5600477875521445,8
6,parent_warmth,0.8651585971957987,4
6,parent_reject,0.7957546513123225,4
6,parent_autonomy,0.886929242579766,4
6,parent_coerce,0.7122211476770288,4
6,parent_structure,0.8087802226994448,4
6,parent_chaos,0.7524543388854026,4
6,peer_attach,0.8265388706309469,13
6,teacher_rel,0.9167323203257293,14
6,sm_addiction,0.8512177740209912,15
6,offline_delin,,15
6,cyber_delin,,15
7,life_sat,0.7449647802043718,5
7,happy,0.5838887402072801,4
7,self_esteem,0.7661862251070909,10
7,attention,0.8369066660567919,7
7,aggression,0.8501044513632917,6
7,somatic,0.8668106383835565,8
7,withdrawal,0.878923513054972,5
7,depression,0.9045691726279753,10
7,depression9,0.898084068152479,9
7,grit,0.5498356196284879,8
7,parent_warmth,0.8465990815192629,4
7,parent_reject,0.7509532508027865,4
7,parent_autonomy,0.8736135243194016,4
7,parent_coerce,0.7315503580853344,4
7,parent_structure,0.8078337950521269,4
7,parent_chaos,0.7633378884307442,4
7,peer_attach,0.8424161315686921,13
7,teacher_rel,0.966593596293865,14
7,sm_addiction,0.8444732579099117,15
7,offline_delin,,15
7,cyber_delin,,15
