outcome,term,coef_std,se_cluster,p,n_obs,n_ids,r2_within
cyber_freq,lag_offline_freq,-0.0789679830623098,0.02451137107859035,0.0012743795244391156,12994,2422,0.06657906485768306
cyber_freq,lag_cyber_freq,-0.1597157956393943,0.01884811637286149,2.374472121120138e-17,12994,2422,0.06657906485768306
cyber_freq,lag_smartphone_dependence,0.018302650778021113,0.015726413954659606,0.24449862284898405,12994,2422,0.06657906485768306
cyber_freq,lag_depression,0.012859502529723942,0.015797830839434715,0.41564247688585576,12994,2422,0.06657906485768306
cyber_freq,lag_aggression,0.003239980685934424,0.016512945256890243,0.8444469532197025,12994,2422,0.06657906485768306
cyber_freq,lag_attention_problem,0.02296106888826531,0.015762386330915243,0.14519919717773394,12994,2422,0.06657906485768306
cyber_freq,lag_parent_warmth,0.001052638724795581,0.012698376936453263,0.9339346059415123,12994,2422,0.06657906485768306
cyber_freq,lag_parent_rejection,-0.005937054727519845,0.012693554851575285,0.6399834139021428,12994,2422,0.06657906485768306
cyber_freq,lag_parent_coercion,0.016163505856147172,0.015776194365846735,0.30557538997330247,12994,2422,0.06657906485768306
cyber_freq,lag_parent_inconsistency,-0.006028132952151662,0.01358403689750376,0.6572118132075029,12994,2422,0.06657906485768306
cyber_freq,lag_negative_peer,0.011061258240553276,0.012262090554835429,0.36701993469467,12994,2422,0.06657906485768306
cyber_freq,lag_teacher_relation,0.028748584824318968,0.013249545247514037,0.030023593196201168,12994,2422,0.06657906485768306
cyber_freq,lag_self_esteem,-0.007186302949783143,0.015925493408636717,0.6518128137246787,12994,2422,0.06657906485768306
cyber_freq,lag_grit,-0.006930523617396819,0.012525745302139237,0.5800564300736171,12994,2422,0.06657906485768306
cyber_freq,lag_academic_engagement,-0.018230762192503643,0.015759204466709014,0.24734074141051887,12994,2422,0.06657906485768306
cyber_freq,lag_academic_helplessness,0.006942872141141389,0.014385690044995477,0.6293630870342954,12994,2422,0.06657906485768306
cyber_freq,lag_life_satisfaction,9.535308257577335e-05,0.013709028185794047,0.9944503623499196,12994,2422,0.06657906485768306
cyber_freq,lag_parent_income,0.030876219473769586,0.018772982878761432,0.10002845582471748,12994,2422,0.06657906485768306
cyber_freq,lag_parent_education_max,-0.070904662581318,0.07198158149801451,0.32460493142565083,12994,2422,0.06657906485768306
offline_freq,lag_offline_freq,-0.15533002653342035,0.026906718763194018,7.791473827404008e-09,12994,2422,0.1205095759451158
offline_freq,lag_cyber_freq,-0.051807288945588004,0.017869417688290232,0.003740979287444566,12994,2422,0.1205095759451158
offline_freq,lag_smartphone_dependence,0.003224389066013262,0.014722920997102424,0.826646377579249,12994,2422,0.1205095759451158
offline_freq,lag_depression,0.018974521424305658,0.015812345684917833,0.2301465467563929,12994,2422,0.1205095759451158
offline_freq,lag_aggression,-0.0020876178016566993,0.016095931630410357,0.8968049883895548,12994,2422,0.1205095759451158
offline_freq,lag_attention_problem,-0.00880873983509282,0.014485911788273131,0.5431277047589158,12994,2422,0.1205095759451158
offline_freq,lag_parent_warmth,0.01312638887169711,0.01375151174349483,0.33980960471553323,12994,2422,0.1205095759451158
offline_freq,lag_parent_rejection,-0.015848535354199614,0.011555827979753578,0.17022676512039858,12994,2422,0.1205095759451158
offline_freq,lag_parent_coercion,0.01323519479337831,0.015501278984236571,0.39320856453131803,12994,2422,0.1205095759451158
offline_freq,lag_parent_inconsistency,-0.013045012423011745,0.013742657920858256,0.3425010845512104,12994,2422,0.1205095759451158
offline_freq,lag_negative_peer,-0.004429117511417011,0.011307931131770097,0.6952929019477962,12994,2422,0.1205095759451158
offline_freq,lag_teacher_relation,0.037924194072719915,0.012807958278740789,0.0030665518470568364,12994,2422,0.1205095759451158
offline_freq,lag_self_esteem,0.0040826839964117,0.016740660765843997,0.807325070924104,12994,2422,0.1205095759451158
offline_freq,lag_grit,-0.023877687498269892,0.013206682463135897,0.07060643452831832,12994,2422,0.1205095759451158
offline_freq,lag_academic_engagement,-0.01065463053072854,0.014409328051731425,0.4596484128282252,12994,2422,0.1205095759451158
offline_freq,lag_academic_helplessness,0.02979244233660517,0.013362445973627174,0.025776333214512136,12994,2422,0.1205095759451158
offline_freq,lag_life_satisfaction,-0.034972409103070354,0.014004484220581604,0.01251679707512992,12994,2422,0.1205095759451158
offline_freq,lag_parent_income,0.03413452832548968,0.017521453353587946,0.05139627356397544,12994,2422,0.1205095759451158
offline_freq,lag_parent_education_max,-0.0504079653476972,0.06690351743805395,0.4511839449177689,12994,2422,0.1205095759451158
