model,feature,importance_mean,importance_sd
hist-gradient-boosting,lag_gender_female,0.036148887257821,0.008663845915460171
hist-gradient-boosting,lag_cyber_any,0.03158577878103831,0.006406533525691472
hist-gradient-boosting,lag_aggression,0.027568758741985028,0.004210694105134287
hist-gradient-boosting,lag_urban_size,0.011642523785123687,0.002000620463991922
hist-gradient-boosting,lag_depression,0.004370819426941191,0.0014710636555550667
hist-gradient-boosting,lag_attention_problem,0.003661108726059031,0.002174877683111315
hist-gradient-boosting,lag_parent_warmth,0.0023911493027184427,0.0015347728820377345
hist-gradient-boosting,lag_cyber_freq,0.0021704011965267165,0.0012306577595547726
hist-gradient-boosting,lag_teacher_relation,0.0013044426595022085,0.0020505021287492435
hist-gradient-boosting,lag_parent_coercion,0.00113676965475214,0.0011398771699358224
hist-gradient-boosting,lag_offline_freq,0.0009417801105124912,0.0020576173812227967
hist-gradient-boosting,lag_school_satisfaction,0.0004697129166723824,0.0016034673175385529
hist-gradient-boosting,lag_parent_rejection,0.00025827805398216387,0.0016428760056210901
hist-gradient-boosting,lag_smartphone_dependence,0.0001893115816587354,0.001864417216114126
hist-gradient-boosting,lag_academic_achievement,-9.541746873664714e-05,0.0002615775635547558
hist-gradient-boosting,lag_negative_peer,-0.0006212868202025267,0.0007933996990518836
hist-gradient-boosting,lag_parent_education_max,-0.0008153415779197148,0.0023875856991354776
hist-gradient-boosting,lag_parent_inconsistency,-0.0010171516016009574,0.0005579480522425416
hist-gradient-boosting,lag_academic_engagement,-0.001024733758949764,0.001511856079183303
hist-gradient-boosting,lag_subjective_ses,-0.0013524629893781116,0.0007087957008244246
hist-gradient-boosting,lag_life_satisfaction,-0.0022328934066391136,0.001193871094467821
hist-gradient-boosting,lag_self_esteem,-0.002868236646401473,0.0011456706150581068
hist-gradient-boosting,lag_academic_helplessness,-0.0030467462504674527,0.0023061564444065387
hist-gradient-boosting,lag_offline_any,-0.003693133819883998,0.0025429473633391845
hist-gradient-boosting,lag_school_type,-0.004326572864878392,0.0033901975705326413
hist-gradient-boosting,lag_parent_income,-0.004923416748604808,0.0017901328028931043
hist-gradient-boosting,lag_positive_peer,-0.005088770097910295,0.0027206875127656067
hist-gradient-boosting,lag_grit,-0.006194726419144458,0.0018938516966990058
