class,wave,class_short,HR,HR_lo,HR_hi,boot_p
Persistent-High,1,c2,12.31,8.17,20.67,0.0033
Persistent-High,2,c2,11.14,8.29,16.82,0.0033
Persistent-High,3,c2,10.09,7.86,14.03,0.0033
Persistent-High,4,c2,9.14,7.01,12.82,0.0033
Persistent-High,5,c2,8.28,5.89,12.95,0.0033
Persistent-High,6,c2,7.49,4.97,13.4,0.0033
Persistent-High,7,c2,6.79,4.0,14.29,0.0033
Decreasing,1,c3,8.96,6.29,14.89,0.0033
Decreasing,2,c3,6.54,4.9,9.58,0.0033
Decreasing,3,c3,4.77,3.69,6.44,0.0033
Decreasing,4,c3,3.48,2.71,4.73,0.0033
Decreasing,5,c3,2.54,1.84,3.73,0.0033
Decreasing,6,c3,1.85,1.16,3.07,0.0067
Decreasing,7,c3,1.35,0.75,2.55,0.3133
Late-Increasing,1,c4,1.43,0.94,2.3,0.1
Late-Increasing,2,c4,1.88,1.38,2.76,0.0033
Late-Increasing,3,c4,2.48,1.97,3.44,0.0033
Late-Increasing,4,c4,3.26,2.61,4.42,0.0033
Late-Increasing,5,c4,4.3,3.38,6.2,0.0033
Late-Increasing,6,c4,5.66,4.14,8.81,0.0033
Late-Increasing,7,c4,7.45,5.0,12.97,0.0033
