class,wave,HR,HR_lo,HR_hi,p
Persistent-High,1,12.31,8.21,18.46,0.0
Decreasing,1,8.96,6.12,13.12,0.0
Late-Increasing,1,1.43,0.94,2.17,0.0931
Persistent-High,2,11.15,8.14,15.26,0.0
Decreasing,2,6.54,4.87,8.78,0.0
Late-Increasing,2,1.88,1.36,2.61,0.0001
Persistent-High,3,10.09,7.71,13.21,0.0
Decreasing,3,4.77,3.71,6.13,0.0
Late-Increasing,3,2.48,1.91,3.22,0.0
Persistent-High,4,9.14,6.83,12.23,0.0
Decreasing,4,3.48,2.65,4.56,0.0
Late-Increasing,4,3.26,2.55,4.18,0.0
Persistent-High,5,8.28,5.72,11.97,0.0
Decreasing,5,2.54,1.8,3.58,0.0
Late-Increasing,5,4.3,3.21,5.75,0.0
Persistent-High,6,7.49,4.65,12.07,0.0
Decreasing,6,1.85,1.19,2.88,0.0064
Late-Increasing,6,5.66,3.9,8.22,0.0
Persistent-High,7,6.78,3.73,12.33,0.0
Decreasing,7,1.35,0.77,2.36,0.2888
Late-Increasing,7,7.45,4.64,11.97,0.0
