Variable,Overall,C1 Stable-Low,C2 Persistent-High,C3 Decreasing,C4 Late-Increasing
N (Original m1 cohort) - context only,2590,,,,
"N (analytic sample, ≥3 valid waves)",2452,615 (25.1%),245 (10.0%),726 (29.6%),866 (35.3%)
"Female, %",46.2,40.5,60.4,53.3,40.3
"Depression W1 (9-item primary), M (SD)","1.83 (0.65) [F=687.0, η²=0.457***]",1.50 (0.53),2.41 (0.56),2.35 (0.48),1.46 (0.40)
"Depression W1 (10-item, sensitivity), M (SD)","1.80 (0.64) [F=682.3, η²=0.455***]",1.48 (0.52),2.38 (0.56),2.32 (0.49),1.44 (0.39)
"Aggression W1, M (SD)","1.92 (0.59) [F=219.8, η²=0.212***]",1.73 (0.57),2.27 (0.53),2.25 (0.49),1.68 (0.51)
"Social withdrawal W1, M (SD)","2.16 (0.75) [F=160.0, η²=0.164***]",1.89 (0.73),2.59 (0.70),2.51 (0.63),1.93 (0.69)
"Somatic symptoms W1, M (SD)","1.86 (0.60) [F=253.7, η²=0.237***]",1.63 (0.56),2.27 (0.56),2.21 (0.53),1.62 (0.49)
"Attention problems W1, M (SD)","2.17 (0.56) [F=84.2, η²=0.094***]",2.03 (0.60),2.39 (0.44),2.38 (0.48),2.03 (0.55)
"Self-esteem W1, M (SD)","2.99 (0.50) [F=267.9, η²=0.247***]",3.22 (0.47),2.60 (0.48),2.71 (0.43),3.17 (0.41)
"Life satisfaction W1, M (SD)","2.77 (0.61) [F=135.3, η²=0.142***]",2.99 (0.57),2.44 (0.56),2.51 (0.57),2.93 (0.55)
"Subjective happiness W1, M (SD)","3.88 (0.55) [F=192.4, η²=0.191***]",4.10 (0.47),3.48 (0.56),3.62 (0.52),4.04 (0.46)
"Grit W1, M (SD)","3.16 (0.44) [F=132.6, η²=0.140***]",3.31 (0.46),2.93 (0.38),2.96 (0.35),3.27 (0.41)
"Parental warmth W1, M (SD)","3.37 (0.58) [F=71.3, η²=0.080***]",3.52 (0.54),3.10 (0.57),3.19 (0.59),3.48 (0.53)
"Parental rejection W1, M (SD)","1.77 (0.63) [F=68.2, η²=0.077***]",1.61 (0.63),1.99 (0.55),1.98 (0.58),1.64 (0.61)
"Parental coercion W1, M (SD)","2.18 (0.65) [F=39.5, η²=0.046***]",2.05 (0.70),2.34 (0.61),2.35 (0.61),2.07 (0.62)
"Parental chaos W1, M (SD)","2.04 (0.64) [F=83.5, η²=0.093***]",1.87 (0.66),2.33 (0.59),2.27 (0.58),1.90 (0.61)
"Parental autonomy W1, M (SD)","3.35 (0.58) [F=71.4, η²=0.080***]",3.48 (0.56),3.10 (0.56),3.16 (0.59),3.47 (0.52)
"Parental structure W1, M (SD)","3.06 (0.54) [F=36.8, η²=0.043***]",3.15 (0.54),2.88 (0.53),2.94 (0.49),3.15 (0.56)
"Peer attachment W1, M (SD)","3.12 (0.43) [F=77.1, η²=0.086***]",3.25 (0.43),2.93 (0.40),2.98 (0.40),3.21 (0.41)
"Teacher relationship W1, M (SD)","2.80 (0.50) [F=58.1, η²=0.066***]",2.91 (0.52),2.58 (0.41),2.67 (0.44),2.90 (0.50)
"Smartphone dependence W1, M (SD)","2.04 (0.49) [F=77.7, η²=0.089***]",1.91 (0.48),2.25 (0.50),2.21 (0.45),1.93 (0.46)
