feature,mean_abs_shap
ARA1A,0.20510167
teacher_rel,0.13762304
happy,0.13645288
parent_coerce,0.13029867
sm_addiction,0.1239989
withdrawal,0.11671047
attention,0.11647248
self_esteem,0.10371778
grit,0.101253554
peer_attach,0.097459175
life_sat,0.09526734
parent_chaos,0.09107818
somatic,0.09049768
female,0.08808281
aggression,0.08753348
parent_structure,0.08470152
parent_reject,0.08199822
ARA2A,0.07772815
depression,0.07385543
parent_autonomy,0.07158871
parent_warmth,0.06381968
YBRT1B,0.06047702
YBRT1A,0.0014949536
