node,community,strength_w1,strength_w7,delta_strength,bridge_w1,bridge_w7,delta_bridge
A01,EXT,0.9559377869475737,1.1848092806317028,0.22887149368412907,0.20032790834499867,0.36807647366744584,0.16774856532244717
A02,EXT,0.8842887269174067,0.9017087502680124,0.017420023350605773,0.14639408574849347,0.12655007508798014,-0.019844010660513334
A03,EXT,1.1921526760690422,1.146152693674476,-0.04599998239456626,0.3822961224673864,0.48769928048686545,0.10540315801947903
A04,EXT,0.7957289214498039,0.8164297940504268,0.02070087260062292,0.11372515524116639,0.054094778194636664,-0.05963037704652972
A05,EXT,1.211341034595037,1.1435684072911683,-0.0677726273038688,0.19061242489413807,0.18680449010341374,-0.003807934790724332
A06,EXT,1.1526760609910933,1.0527242254615505,-0.09995183552954279,0.18353067287167196,0.1591528584954708,-0.02437781437620115
A07,EXT,0.8907740279797054,1.08168791082088,0.1909138828411745,0.20618130676488555,0.40574311474083485,0.1995618079759493
B01,EXT,1.0155960888751738,1.0078747798183325,-0.007721309056841319,0.18300383732708195,0.1977663199187537,0.01476248259167176
B02,EXT,1.123874642591557,1.0721236217612389,-0.05175102083031802,0.1269979121864771,0.2694797477440825,0.1424818355576054
B03,EXT,1.0103860046959134,0.9998294070880576,-0.010556597607855878,0.19059013152502155,0.21987090100546244,0.029280769480440894
B04,EXT,1.2037244589684388,1.1197609080018085,-0.08396355096663033,0.21446330337236347,0.2946347104838097,0.08017140711144621
B05,EXT,1.1100611022323563,1.0912673813237486,-0.01879372090860776,0.39598409225050596,0.3995201359658738,0.0035360437153678648
B06,EXT,1.1456764280314806,0.9807897263934319,-0.16488670163804875,0.8210777089938597,0.6488193550004194,-0.17225835399344025
C01,INT,0.9136969205130651,0.9682405279300815,0.05454360741701647,0.25363567757821437,0.29524535473451496,0.041609677156300595
C02,INT,1.0960430730495665,0.9526022226573018,-0.14344085039226473,0.1331440897396612,0.08579810888746867,-0.04734598085219252
C03,INT,1.1529790386575396,1.1037883558558865,-0.04919068280165306,0.12110192537949827,0.3011418306008855,0.18003990522138724
C04,INT,1.0278342336914918,1.1114478445979163,0.0836136109064245,0.2004896482595848,0.269913409423486,0.06942376116390123
C05,INT,0.9553820911730215,0.8529004887013213,-0.10248160247170024,0.10167204865674741,0.07676828578949833,-0.024903762867249074
C06,INT,1.147520761276706,1.2166238528253634,0.06910309154865746,0.23427687833194208,0.327719157953996,0.0934422796220539
C07,INT,0.8954143874789192,1.0156215525968544,0.12020716511793517,0.10983866106002912,0.12627898163962917,0.016440320579600043
C08,INT,1.0426860210646383,1.241270787506315,0.19858476644167666,0.059644590536287775,0.24261969594245902,0.18297510540617123
D01,INT,1.0701523528936114,0.9917127291690869,-0.07843962372452451,0.11533882054052944,0.08473462717171414,-0.0306041933688153
D02,INT,1.3039463679479137,1.2261957778760655,-0.07775059007184826,0.09215407227250957,0.12154390198370964,0.029389829711200063
D03,INT,1.037693526277181,0.9769218692225017,-0.06077165705467924,0.12335702928183742,0.14334853474103915,0.019991505459201725
D04,INT,1.2548245672075047,1.0163475795273327,-0.238476987680172,0.09398334615982983,0.021495802044409214,-0.0724875441154206
D05,INT,1.3013457507995394,1.1582127266859523,-0.14313302411358708,0.20365574601172684,0.17592248206259856,-0.027733263949128284
E01,INT,1.161082091625678,1.06606243568246,-0.09501965594321815,0.07118664190655641,0.054462942573677224,-0.016723699332879184
E02,INT,1.3674954474355436,1.113846937274353,-0.2536485101611907,0.20366335717745998,0.19184470134166684,-0.01181865583579314
E03,INT,1.1894475872440022,1.2460622175031768,0.05661463025917457,0.12506459441473916,0.27826198362383875,0.1531973892090996
E04,INT,1.0622501724872815,1.0831828171559963,0.020932644668714806,0.08510398140728472,0.24556381090843077,0.16045982950114607
E05,INT,1.0536780509254118,1.1112128966731878,0.05753484574777601,0.27910929725196953,0.29173981994611375,0.01263052269414422
E06,INT,1.1787928793432696,1.0005087998102138,-0.1782840795330558,0.23663473774572677,0.16723455239431712,-0.06940018535140965
E07,INT,1.0184880447963023,0.9669299665764185,-0.051558078219883785,0.14033728566686282,0.08021386339808717,-0.06012342226877565
E08,INT,1.1987209014360956,0.989866232502269,-0.20885466893382654,0.19337794992953133,0.04680927824484014,-0.1465686716846912
E09,INT,1.0200143948255385,1.0992877832239125,0.07927338839837406,0.09832975342101791,0.1409927729130253,0.042663019492007404
E10,INT,1.163270343962768,1.0152385144551774,-0.14803182950759064,0.08008452925850362,0.04855834257564358,-0.031526186682860044
